Crazyflie name,QTM packet timestamp (s),QTM_x (m),QTM_y (m),QTM_z (m),cf_yaw (°),QTM_vx (m/s),QTM_vy (m/s),QTM_vz (m/s),x_g (m),y_g (m),z_g (m),yaw_g (°),roll_c (°),pitch_c (°),yaw_rate_c (°/s),thrust_c (PWM) 
cf1_sim,44.52000000000136,-0.7424069075105111,0.3451174913826949,0.4,-27.29999999999922,-0.08494269964583943,-0.48464602493354675,0.0,-0.7202116858369025,-0.14326042202661315,0.5,-14.86010680982612,-1.0501752473184367,2.2211564272206457,-62,65000
cf1_sim,44.54000000000136,-0.7439375978221249,0.3354187133118724,0.4,-26.059999999999192,-0.07653451558068916,-0.4849389035411245,0.0,-0.7133641715580645,-0.15119181725375092,0.5,-13.562282325316584,-1.0439780771503697,2.2220019396192097,-62,65000
cf1_sim,44.56000000000137,-0.7453001715082191,0.3257173114552723,0.4,-24.81999999999922,-0.06812868430471322,-0.4850700928300072,0.0,-0.7063916733887659,-0.15896557342255413,0.5,-12.258613925831416,-1.037794457074259,2.2227949866360848,-63,65000
cf1_sim,44.58000000000137,-0.7464947396327805,0.31601651736027386,0.4,-23.559999999999196,-0.059728406228064634,-0.48503970474992003,0.0,-0.699297464050622,-0.16657938410674888,0.5,-10.949071395125241,-1.0308489516193733,2.223895814551465,-63,65000
cf1_sim,44.60000000000137,-0.7475214772071724,0.3063195590589083,0.4,-22.299999999999226,-0.05133687871959833,-0.48484791506827823,0.0,-0.6920848609271995,-0.17403100926515191,0.5,-9.633627614522783,-1.0239179619702325,2.224940175730324,-63,65000
cf1_sim,44.620000000001376,-0.748380623103813,0.29662965979299244,0.4,-21.039999999999196,-0.04295729483203197,-0.484494963295792,0.0,-0.6847572247251117,-0.18131827611752283,0.5,-8.312258746434216,-1.017002322505219,2.225928388977605,-64,65000
cf1_sim,44.64000000000138,-0.7490724799443901,0.2869500367412605,0.4,-19.759999999999227,-0.03459284202885362,-0.48398115258659546,0.0,-0.6773179581178874,-0.18843907999345277,0.5,-6.984944421260428,-1.0093254793609028,2.227213243722948,-64,65000
cf1_sim,44.66000000000138,-0.7495974139626598,0.2772838997490017,0.4,-18.479999999999208,-0.026246700913485254,-0.48330684961293974,0.0,-0.6697705043731534,-0.19539138515395105,0.5,-5.6516679272682815,-1.001664904411934,2.2284375532493477,-64,65000
cf1_sim,44.680000000001385,-0.749955854841884,0.2676344500607117,0.4,-17.199999999999235,-0.017922043961210474,-0.48247248441449997,0.0,-0.6621183459636824,-0.2021732255854017,0.5,-4.312416402962154,-0.9940214746522682,2.22960169604632,-64,65000
cf1_sim,44.70000000000139,-0.7501482955269715,0.25800487905626457,0.4,-15.919999999999213,-0.009622034254373413,-0.48147855022235697,0.0,-0.6543650031628601,-0.20878270576557234,0.5,-2.9671810314297242,-0.9863960601774031,2.230706065354024,-65,65000
cf1_sim,44.72000000000139,-0.7501752920113985,0.2483983669911101,0.4,-14.619999999999193,-0.0013498242213547222,-0.48032560325772417,0.0,-0.6465140326251352,-0.21521800140136946,0.5,-1.6159572360824666,-0.9780104362303542,2.2320925950655037,-65,65000
cf1_sim,44.740000000001395,-0.7500374630989951,0.2388180817410001,0.4,-13.31999999999922,0.006891445620171145,-0.4790142625054998,0.0,-0.6385690259520196,-0.22147736013804634,0.5,-0.25874487715953165,-0.9696437403319808,2.2334146127254733,-65,65000
cf1_sim,44.7600000000014,-0.7497354901406912,0.2292671775517454,0.4,-12.0199999999992,0.015098647915194753,-0.4775452094627357,0.0,-0.6305336082442126,-0.2275591022395797,0.5,1.1044515516940403,-0.9612968844933758,2.2346725762594253,-66,65000
cf1_sim,44.7800000000014,-0.7492701167463303,0.2197487937945029,0.4,-10.699999999999232,0.023268669718045913,-0.4759191878621234,0.0,-0.6224114366404291,-0.23346162123994355,0.5,2.473622727517758,-0.9521902493359647,2.2361994723740635,-66,65000
cf1_sim,44.800000000001404,-0.7486421484716645,0.21026605372709076,0.4,-9.379999999999214,0.031398413733284794,-0.4741370033706073,0.0,-0.6142061988435156,-0.23918338456502056,0.5,3.848754303595126,-0.9431043485652432,2.2376572060486075,-66,65000
cf1_sim,44.82000000000141,-0.7478524524806582,0.2008220632618258,0.4,-8.059999999999194,0.03948479955031373,-0.47219952326324693,0.0,-0.605921611634445,-0.24472293412490234,0.5,5.229826717335615,-0.9340401364076198,2.239046304264816,-66,65000
cf1_sim,44.84000000000141,-0.7469019571832339,0.19141990974037665,0.4,-6.739999999999225,0.04752476487121593,-0.47010767607245774,0.0,-0.597561419374784,-0.2500788868763426,0.5,6.6168150013873674,-0.9249985569995909,2.240367310248946,-67,65000
cf1_sim,44.86000000000141,-0.7457916518486073,0.18206266071612123,0.4,-5.399999999999206,0.05551526673133005,-0.46786245121277137,0.0,-0.589129392498232,-0.25524993535513857,0.5,8.009688598939626,-0.9151980150452356,2.241940384239562,-67,65000
cf1_sim,44.88000000000142,-0.7445225861943658,0.17275336274449593,0.4,-4.059999999999188,0.06345328271207272,-0.46546489858126555,0.0,-0.5806293259918365,-0.260234848178228,0.5,9.408411184223008,-0.9054210250261376,2.2434399483092298,-67,65000
cf1_sim,44.90000000000142,-0.7430958699514554,0.16349504018181946,0.4,-2.7199999999992204,0.07133581214552376,-0.4629161281338232,0.0,-0.5720650378674916,-0.2650324705153019,0.5,10.812940489261036,-0.8956685719591629,2.244866619447796,-68,65000
cf1_sim,44.92000000000142,-0.7415126724052495,0.15429069399307163,0.4,-1.359999999999203,0.07915987731029253,-0.46021730943739086,0.0,-0.5634403676243323,-0.26964172452974466,0.5,12.223228137967595,-0.8851574957582637,2.2465301465366623,-68,65000
cf1_sim,44.940000000001426,-0.7397742219128858,0.14514330056910332,0.4,7.918110611626616e-13,0.08692252461818717,-0.45736967119841504,0.0,-0.5547591747026375,-0.2740616097887254,0.5,13.639219488720922,-0.8746718889166708,2.2481150185267245,-68,65000
cf1_sim,44.96000000000143,-0.7378818053970615,0.1360558105537504,0.4,1.360000000000792,0.09462082579121213,-0.4543745007676458,0.0,-0.5460253369298642,-0.278291203642278,0.5,15.06085348657569,-0.8642127771968798,2.24962193030002,-69,65000
cf1_sim,44.98000000000143,-0.735836767816493,0.1270311476813203,0.4,2.740000000000792,0.10225187902842345,-0.45123314362150524,0.0,-0.5372427489594307,-0.2823296615712175,0.5,16.488062526297657,-0.8529953551653199,2.2513494828795464,-69,65000
cf1_sim,45.000000000001435,-0.7336405116132495,0.11807220762491571,0.4,4.120000000000792,0.10981281016217502,-0.44794700282022865,0.0,-0.5284153207028773,-0.286176217503755,0.5,17.920772327422437,-0.8418053915160333,2.252992979669324,-69,65000
cf1_sim,45.02000000000144,-0.7312944961371837,0.1091818568560558,0.4,5.500000000000792,0.11730077380329353,-0.4445175384429952,0.0,-0.5195469757560283,-0.2898301841006846,0.5,19.358901822547136,-0.8306439524202645,2.254553197449061,-69,65000
cf1_sim,45.04000000000144,-0.7288002370476891,0.10036293151605033,0.4,6.880000000000792,0.12471295447472412,-0.4409462670002739,0.0,-0.5106416498197872,-0.29329095300902974,0.5,20.802363060062657,-0.8195120880650621,2.2560309310247213,-70,65000
cf1_sim,45.060000000001445,-0.7261593056930252,0.09161823629957791,0.4,8.280000000000792,0.1320465677331935,-0.43723476082362067,0.0,-0.5017032891161981,-0.296557995084046,0.5,22.25106112252354,-0.8076227924129245,2.2577090439948777,-70,65000
cf1_sim,45.08000000000145,-0.7233733284674564,0.08295054335091451,0.4,9.680000000000792,0.13929886127844188,-0.43338464743316973,0.0,-0.4927358488004027,-0.2996308605794946,0.5,23.704894061829933,-0.7957641086946173,2.2592983117219543,-70,65000
cf1_sim,45.10000000000145,-0.7204439861464648,0.07436259117325304,0.4,11.080000000000792,0.14646711604958013,-0.4293976088830731,0.0,-0.4837432913691337,-0.3025091793061089,0.5,25.163752852364357,-0.7839371250709007,2.2607996148893617,-70,65000
